ID	Concept	Dashi	Ega	Enqi	Eryuan	Gongxing	Heqi	Jianchuan	Jinman	Jinxing	Lanping	Luobenzhuo	Mazhelong	Qiliqiao	Tuoluo	Xiangyun	Yunlong	Zhoucheng
411	now	-	-	-	now	-	now	now	-	-	now	now	-	now	-	now	now	-
412	old lady	old lady	-	old lady	-	old lady	-	-	-	old lady	-	-	-	-	old lady	-	-	-
413	old person	-	-	-	old person	-	old person	old person	-	-	old person	old person	-	old person	-	old person	old person	-
414	old;aged	old;aged	old;aged	old;aged	old;aged	old;aged	old;aged	old;aged	old;aged	old;aged	old;aged	old;aged	old;aged	old;aged	old;aged	old;aged	old;aged	old;aged
415	old;used	-	old;used	old;used	old;used	old;used	old;used	old;used	old;used	-	old;used	old;used	old;used	old;used	old;used	old;used	old;used	old;used
416	one	-	one	one	one	one	one	one	one	one	one	one	one	one	one	one	one	one
417	onion, scallion	onion, scallion	onion, scallion	onion, scallion	-	onion, scallion	-	-	onion, scallion	onion, scallion	-	-	onion, scallion	-	onion, scallion	-	-	onion, scallion
418	open	open	open	open	open	open	open	open	open	open	open	open	open	open	open	open	open	open
419	outside	outside	outside	outside	outside	outside	outside	outside	outside	outside	outside	outside	outside	outside	outside	outside	outside	outside
420	paddy field	paddy field	-	-	paddy field	-	paddy field	paddy field	-	paddy field	paddy field	paddy field	paddy field	paddy field	paddy field	paddy field	paddy field	paddy field
421	paddy rice	paddy rice	paddy rice	paddy rice	-	paddy rice	-	-	paddy rice	paddy rice	-	-	paddy rice	-	paddy rice	-	-	paddy rice
422	painful	-	-	-	painful	-	painful	painful	-	-	painful	painful	-	painful	-	painful	painful	-
423	paint	-	paint	paint	-	paint	-	-	paint	-	-	-	paint	-	-	-	-	paint
424	paper	paper	paper	paper	paper	paper	paper	paper	paper	paper	paper	paper	paper	paper	paper	paper	paper	paper
425	pare/peel with a knife	pare/peel with a knife	pare/peel with a knife	pare/peel with a knife	-	pare/peel with a knife	-	-	pare/peel with a knife	pare/peel with a knife	-	-	pare/peel with a knife	-	pare/peel with a knife	-	-	pare/peel with a knife
426	patch (clothing)	patch (clothing)	patch (clothing)	patch (clothing)	-	patch (clothing)	-	-	patch (clothing)	patch (clothing)	-	-	patch (clothing)	-	patch (clothing)	-	-	patch (clothing)
427	path;road	path;road	path;road	path;road	path;road	path;road	path;road	path;road	path;road	path;road	path;road	path;road	path;road	path;road	path;road	path;road	path;road	path;road
428	pave; lay	pave; lay	pave; lay	pave; lay	-	pave; lay	-	-	-	pave; lay	-	-	pave; lay	-	pave; lay	-	-	pave; lay
429	pea	-	-	-	pea	-	pea	pea	-	-	pea	pea	-	pea	-	pea	pea	-
430	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean	pea;bean
431	peach	peach	peach	peach	peach	peach	peach	peach	peach	peach	peach	peach	peach	peach	peach	peach	peach	peach
432	pear	-	-	-	pear	-	pear	pear	-	-	pear	pear	-	pear	-	pear	pear	-
433	peel,husk	-	-	-	peel,husk	-	peel,husk	peel,husk	-	-	peel,husk	peel,husk	-	peel,husk	-	peel,husk	peel,husk	-
434	pen	-	-	-	pen	-	pen	pen	-	-	pen	pen	-	pen	-	pen	pen	-
435	pepper	-	-	-	pepper	-	pepper	pepper	-	-	pepper	pepper	-	pepper	-	pepper	pepper	-
436	persimmon	persimmon	persimmon	persimmon	persimmon	persimmon	persimmon	persimmon	persimmon	persimmon	persimmon	persimmon	persimmon	persimmon	persimmon	persimmon	persimmon	persimmon
437	person	person	person	person	person	person	person	person	person	person	person	person	person	person	person	person	person	person
438	pheasant	pheasant	-	pheasant	-	pheasant	-	-	pheasant	pheasant	-	-	pheasant	-	pheasant	-	-	pheasant
439	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up
439	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up	pick up
440	pick up (food with chopstick)	pick up (food with chopstick)	pick up (food with chopstick)	pick up (food with chopstick)	-	pick up (food with chopstick)	-	-	pick up (food with chopstick)	pick up (food with chopstick)	-	-	pick up (food with chopstick)	-	pick up (food with chopstick)	-	-	pick up (food with chopstick)
441	pig	pig	pig	pig	pig	pig	pig	pig	pig	pig	pig	pig	pig	pig	pig	pig	pig	pig
442	pile up	-	-	-	pile up	-	pile up	pile up	-	-	pile up	pile up	-	pile up	-	pile up	pile up	-
443	pillar	pillar	pillar	pillar	pillar	pillar	pillar	pillar	pillar	pillar	pillar	pillar	pillar	pillar	pillar	pillar	pillar	pillar
444	pillow	pillow	pillow	pillow	-	pillow	-	-	pillow	pillow	-	-	pillow	-	pillow	-	-	pillow
445	pine torches	pine torches	pine torches	pine torches	-	pine torches	-	-	pine torches	pine torches	-	-	-	-	pine torches	-	-	-
446	pine;pine-tree	pine;pine-tree	pine;pine-tree	pine;pine-tree	pine;pine-tree	pine;pine-tree	pine;pine-tree	pine;pine-tree	pine;pine-tree	-	pine;pine-tree	pine;pine-tree	pine;pine-tree	pine;pine-tree	pine;pine-tree	pine;pine-tree	pine;pine-tree	pine;pine-tree
447	pit,stone	-	-	-	pit,stone	-	pit,stone	pit,stone	-	-	pit,stone	pit,stone	-	pit,stone	-	pit,stone	pit,stone	-
448	plank; board	plank; board	-	plank; board	-	plank; board	-	-	plank; board	plank; board	-	-	plank; board	-	plank; board	-	-	plank; board
449	plant(seed)	-	-	-	plant(seed)	-	plant(seed)	plant(seed)	-	-	plant(seed)	plant(seed)	-	plant(seed)	-	plant(seed)	plant(seed)	-
450	play	-	-	-	play	-	play	play	-	-	play	play	-	play	-	play	play	-
451	plough (implement)	-	-	-	plough (implement)	-	plough (implement)	plough (implement)	-	-	plough (implement)	plough (implement)	-	plough (implement)	-	plough (implement)	plough (implement)	-
452	plough(field)	-	-	-	plough(field)	-	plough(field)	plough(field)	-	-	plough(field)	plough(field)	-	plough(field)	-	plough(field)	plough(field)	-
453	plough; till	plough; till	-	plough; till	-	plough; till	-	-	plough; till	plough; till	-	-	plough; till	-	plough; till	-	-	-
454	plougshare	-	plougshare	plougshare	-	plougshare	-	-	plougshare	plougshare	-	-	plougshare	-	plougshare	-	-	-
455	pond	-	-	-	pond	-	pond	pond	-	-	pond	pond	-	pond	-	pond	pond	-
456	poor	-	-	-	poor	-	poor	poor	-	-	poor	poor	-	poor	-	poor	poor	-
457	press (with palm of finger)	press (with palm of finger)	press (with palm of finger)	press (with palm of finger)	-	press (with palm of finger)	-	-	press (with palm of finger)	press (with palm of finger)	-	-	press (with palm of finger)	-	press (with palm of finger)	-	-	press (with palm of finger)
458	press, push down	press, push down	press, push down	press, push down	-	press, push down	-	-	press, push down	press, push down	-	-	press, push down	-	press, push down	-	-	press, push down
459	price	price	price	price	price	price	price	price	price	price	price	price	price	price	price	price	price	price
460	pull	pull	pull	pull	pull	pull	pull	pull	-	pull	pull	pull	pull	pull	pull	pull	pull	pull
461	pull (a quilt over oneself)	pull (a quilt over oneself)	pull (a quilt over oneself)	pull (a quilt over oneself)	-	pull (a quilt over oneself)	-	-	pull (a quilt over oneself)	pull (a quilt over oneself)	-	-	pull (a quilt over oneself)	-	pull (a quilt over oneself)	-	-	pull (a quilt over oneself)
462	pull up	pull up	pull up	pull up	pull up	pull up	pull up	pull up	pull up	pull up	pull up	pull up	pull up	pull up	pull up	pull up	pull up	pull up
463	pumpkin	-	-	-	pumpkin	-	pumpkin	pumpkin	-	-	pumpkin	pumpkin	-	pumpkin	-	pumpkin	pumpkin	-
464	pus	pus	pus	pus	-	pus	-	-	pus	pus	-	-	pus	-	pus	-	-	pus
465	push	-	-	-	push	-	push	push	-	-	push	push	-	push	-	push	push	-
466	put on (the shoes)	put on (the shoes)	put on (the shoes)	put on (the shoes)	-	put on (the shoes)	-	-	put on (the shoes)	put on (the shoes)	-	-	put on (the shoes)	-	put on (the shoes)	-	-	put on (the shoes)
467	put out to pasture	-	-	-	put out to pasture	-	put out to pasture	put out to pasture	-	-	put out to pasture	put out to pasture	-	put out to pasture	-	put out to pasture	put out to pasture	-
468	quarrel	-	-	-	quarrel	-	quarrel	quarrel	-	-	quarrel	quarrel	-	quarrel	-	quarrel	quarrel	-
469	quickly	-	-	-	quickly	-	quickly	quickly	-	-	quickly	quickly	-	quickly	-	quickly	quickly	-
470	quilt	-	-	-	quilt	-	quilt	quilt	-	-	quilt	quilt	-	quilt	-	quilt	quilt	-
471	rain	rain	rain	rain	rain	rain	rain	rain	rain	rain	rain	rain	rain	rain	rain	rain	rain	rain
472	rain cape	rain cape	rain cape	rain cape	rain cape	rain cape	rain cape	rain cape	rain cape	rain cape	rain cape	rain cape	rain cape	rain cape	rain cape	rain cape	rain cape	rain cape
473	raw	-	-	-	raw	-	raw	raw	-	-	raw	raw	-	raw	-	raw	raw	-
474	read	read	read	read	read	read	read	read	read	read	read	read	read	read	read	read	read	read
475	real	real	real	real	-	real	-	-	real	real	-	-	real	-	real	-	-	real
476	receive	-	-	-	receive	-	receive	receive	-	-	receive	receive	-	receive	-	receive	receive	-
477	red	red	red	red	red	red	red	red	red	red	red	red	red	red	red	red	red	red
478	remember	-	-	-	remember	-	remember	remember	-	-	remember	remember	-	remember	-	remember	remember	-
479	resin, colophony	resin, colophony	resin, colophony	resin, colophony	-	resin, colophony	-	-	resin, colophony	resin, colophony	-	-	resin, colophony	-	resin, colophony	-	-	resin, colophony
480	rest	-	-	-	rest	-	rest	rest	-	-	rest	rest	-	rest	-	rest	rest	-
481	return	return	return	return	return	return	return	return	return	return	return	return	return	return	return	return	return	return
482	rice	rice	rice	rice	rice	rice	rice	rice	rice	rice	rice	rice	rice	rice	rice	rice	rice	rice
483	rice straw	rice straw	rice straw	rice straw	-	rice straw	-	-	rice straw	rice straw	-	-	rice straw	-	rice straw	-	-	rice straw
484	rich	-	rich	rich	rich	rich	rich	rich	rich	rich	rich	rich	rich	rich	rich	rich	rich	rich
485	ride	ride	ride	ride	ride	ride	ride	ride	ride	ride	ride	ride	ride	ride	ride	ride	ride	ride
486	right side	-	-	-	right side	-	right side	right side	-	-	right side	right side	-	right side	-	right side	right side	-
487	river	river	river	river	river	river	river	river	river	river	river	river	river	river	river	river	river	river
488	roast in fire	roast in fire	-	roast in fire	-	-	-	-	-	roast in fire	-	-	roast in fire	-	roast in fire	-	-	roast in fire
489	rob	-	-	-	rob	-	rob	rob	-	-	rob	rob	-	rob	-	rob	rob	-
490	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root	root
491	rope	rope	rope	rope	-	rope	-	-	rope	rope	-	-	rope	-	rope	-	-	rope
492	round	round	round	round	-	round	-	-	round	round	-	-	round	-	round	-	-	round
493	salary,pay	-	-	-	salary,pay	-	salary,pay	salary,pay	-	-	salary,pay	salary,pay	-	salary,pay	-	salary,pay	salary,pay	-
494	salt	salt	salt	salt	salt	salt	salt	salt	salt	salt	salt	salt	-	salt	salt	salt	salt	salt
495	salty	salty	salty	salty	salty	salty	salty	salty	salty	salty	salty	salty	salty	salty	salty	salty	salty	salty
496	sand	-	sand	sand	-	sand	-	-	sand	sand	-	-	sand	-	sand	-	-	sand
497	saw	saw	saw	saw	-	saw	-	-	saw	saw	-	-	saw	-	saw	-	-	saw
498	say	-	say	-	say	-	say	say	-	say	say	say	say	say	say	say	say	say
499	scale	scale	scale	scale	-	-	-	-	scale	scale	-	-	scale	-	scale	-	-	scale
500	scar	-	scar	scar	-	scar	-	-	scar	scar	-	-	scar	-	scar	-	-	-
501	scatter	scatter	scatter	scatter	scatter	scatter	scatter	scatter	scatter	scatter	scatter	scatter	scatter	scatter	scatter	scatter	scatter	scatter
502	scissors	scissors	scissors	scissors	scissors	scissors	scissors	scissors	scissors	scissors	scissors	scissors	scissors	scissors	scissors	scissors	scissors	scissors
503	scoop up (water); ladle out	scoop up (water); ladle out	scoop up (water); ladle out	scoop up (water); ladle out	-	scoop up (water); ladle out	-	-	-	scoop up (water); ladle out	-	-	scoop up (water); ladle out	-	scoop up (water); ladle out	-	-	scoop up (water); ladle out
504	sea	sea	sea	-	-	sea	-	-	sea	sea	-	-	sea	-	sea	-	-	sea
505	second month	-	-	-	second month	-	second month	second month	-	-	second month	second month	-	second month	-	second month	second month	-
506	see	-	-	-	see	-	see	see	-	-	see	see	-	see	-	see	see	-
507	seed	seed	seed	seed	seed	seed	seed	seed	seed	seed	seed	seed	seed	seed	seed	seed	seed	seed
508	seed of Chinese prickly ash	seed of Chinese prickly ash	seed of Chinese prickly ash	seed of Chinese prickly ash	-	seed of Chinese prickly ash	-	-	seed of Chinese prickly ash	seed of Chinese prickly ash	-	-	seed of Chinese prickly ash	-	seed of Chinese prickly ash	-	-	seed of Chinese prickly ash
509	seep	seep	seep	seep	-	seep	-	-	seep	seep	-	-	seep	-	seep	-	-	seep
510	sell	sell	sell	sell	sell	sell	sell	sell	sell	sell	sell	sell	sell	sell	sell	sell	sell	sell
511	seven	seven	seven	seven	seven	seven	seven	seven	seven	seven	seven	seven	seven	seven	seven	seven	seven	seven
512	shadow	shadow	shadow	shadow	-	shadow	-	-	shadow	shadow	-	-	shadow	-	shadow	-	-	shadow
513	shallow fry	-	-	-	shallow fry	-	shallow fry	shallow fry	-	-	shallow fry	shallow fry	-	shallow fry	-	shallow fry	shallow fry	-
514	sharp	sharp	sharp	sharp	sharp	sharp	sharp	sharp	sharp	sharp	sharp	sharp	sharp	sharp	sharp	sharp	sharp	sharp
515	shave	shave	shave	shave	shave	shave	shave	shave	shave	shave	shave	shave	shave	shave	shave	shave	shave	shave
516	sheep	-	-	-	sheep	-	sheep	sheep	-	-	sheep	sheep	-	sheep	-	sheep	sheep	-
517	sheep (general)	sheep (general)	sheep (general)	sheep (general)	-	sheep (general)	-	-	sheep (general)	sheep (general)	-	-	sheep (general)	-	sheep (general)	-	-	sheep (general)
518	shiver	-	-	-	shiver	-	shiver	shiver	-	-	shiver	shiver	-	shiver	-	shiver	shiver	-
519	shoe	-	shoe	shoe	shoe	shoe	shoe	shoe	shoe	shoe	shoe	shoe	shoe	shoe	shoe	shoe	shoe	shoe
520	shoot,sprout	-	-	-	shoot,sprout	-	shoot,sprout	shoot,sprout	-	-	shoot,sprout	shoot,sprout	-	shoot,sprout	-	shoot,sprout	shoot,sprout	-
521	short	-	-	-	short	-	short	short	-	-	short	short	-	short	-	short	short	-
522	shout	-	-	-	shout	-	shout	shout	-	-	shout	shout	-	shout	-	shout	shout	-
523	sickle	sickle	sickle	sickle	-	sickle	-	-	sickle	sickle	-	-	sickle	-	sickle	-	-	sickle
524	sieve	sieve	sieve	sieve	sieve	sieve	sieve	sieve	sieve	sieve	sieve	sieve	sieve	sieve	sieve	sieve	sieve	sieve
525	silver	silver	silver	silver	-	silver	-	-	silver	silver	-	-	silver	-	silver	-	-	silver
526	sit	sit	sit	sit	sit	sit	sit	sit	sit	sit	sit	sit	sit	sit	sit	sit	sit	sit
527	six	six	six	six	six	six	six	six	six	six	six	six	six	six	six	six	six	six
528	skin	skin	skin	skin	-	skin	-	-	skin	skin	-	-	skin	-	skin	-	-	skin
529	sky	sky	sky	sky	sky	sky	sky	sky	sky	sky	sky	sky	sky	sky	sky	sky	sky	sky
530	slanting; learning	slanting; learning	slanting; learning	slanting; learning	-	slanting; learning	-	-	slanting; learning	slanting; learning	-	-	slanting; learning	-	-	-	-	slanting; learning
531	sleep	-	-	-	sleep	-	sleep	sleep	-	-	sleep	sleep	-	sleep	-	sleep	sleep	-
532	slow	-	-	-	slow	-	slow	slow	-	-	slow	slow	-	slow	-	slow	slow	-
533	slowly	-	-	-	slowly	-	slowly	slowly	-	-	slowly	slowly	-	slowly	-	slowly	slowly	-
534	small bowl	-	-	-	small bowl	-	small bowl	small bowl	-	-	small bowl	small bowl	-	small bowl	-	small bowl	small bowl	-
535	small/little	-	-	-	small/little	-	small/little	small/little	-	-	small/little	small/little	-	small/little	-	small/little	small/little	-
536	smell	smell	smell	smell	smell	smell	smell	smell	smell	smell	smell	smell	smell	smell	smell	smell	smell	smell
537	smelly	smelly	smelly	smelly	smelly	smelly	smelly	smelly	smelly	smelly	smelly	smelly	-	smelly	smelly	smelly	smelly	smelly
538	smoke	smoke	smoke	smoke	-	smoke	-	-	smoke	smoke	-	-	smoke	-	smoke	-	-	smoke
539	smooth	smooth	smooth	smooth	-	smooth	-	-	smooth	smooth	-	-	smooth	-	smooth	-	-	smooth
540	snake	snake	snake	snake	snake	snake	snake	snake	snake	snake	snake	snake	snake	snake	snake	snake	snake	snake
540	snake	-	snake	snake	-	snake	-	-	snake	-	-	-	snake	-	snake	-	-	-
541	snap,break in two	-	-	-	snap,break in two	-	snap,break in two	snap,break in two	-	-	snap,break in two	snap,break in two	-	snap,break in two	-	snap,break in two	snap,break in two	-
542	snow	snow	snow	snow	snow	snow	snow	snow	snow	snow	snow	snow	snow	snow	snow	snow	snow	snow
543	soak	soak	soak	soak	soak	soak	soak	soak	soak	soak	soak	soak	soak	soak	soak	soak	soak	soak
544	soft	soft	soft	soft	-	soft	-	-	soft	soft	-	-	soft	-	soft	-	-	soft
545	soil	-	-	-	soil	-	soil	soil	-	-	soil	soil	-	soil	-	soil	soil	-
546	soldier	soldier	soldier	soldier	-	-	-	-	soldier	soldier	-	-	-	-	soldier	-	-	soldier
547	son	son	son	son	son	son	son	son	son	son	son	son	son	son	son	son	son	son
548	soul	-	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul
549	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice	sound;voice
550	soup	soup	soup	soup	soup	soup	soup	soup	soup	soup	soup	soup	soup	soup	soup	soup	soup	soup
551	sour	sour	sour	sour	sour	sour	sour	sour	sour	sour	sour	sour	sour	sour	sour	sour	sour	sour
552	soybean	-	-	-	soybean	-	soybean	soybean	-	-	soybean	soybean	-	soybean	-	soybean	soybean	-
553	sparrow	-	-	-	sparrow	-	sparrow	sparrow	-	-	sparrow	sparrow	-	sparrow	-	sparrow	sparrow	-
554	speech;word;language	-	speech;word;language	speech;word;language	speech;word;language	speech;word;language	speech;word;language	speech;word;language	speech;word;language	-	speech;word;language	speech;word;language	speech;word;language	speech;word;language	speech;word;language	speech;word;language	speech;word;language	speech;word;language
555	spicy	spicy	spicy	-	spicy	-	spicy	spicy	spicy	spicy	spicy	spicy	spicy	spicy	spicy	spicy	spicy	spicy
556	spider	-	-	-	spider	-	spider	spider	-	-	spider	spider	-	spider	-	spider	spider	-
557	spit	spit	spit	spit	spit	spit	spit	spit	spit	spit	spit	spit	spit	spit	spit	spit	spit	spit
558	sprout(vb)	-	-	-	sprout(vb)	-	sprout(vb)	sprout(vb)	-	-	sprout(vb)	sprout(vb)	-	sprout(vb)	-	sprout(vb)	sprout(vb)	-
559	squeeze (for milk)	squeeze (for milk)	squeeze (for milk)	squeeze (for milk)	-	squeeze (for milk)	-	-	squeeze (for milk)	squeeze (for milk)	-	-	squeeze (for milk)	-	squeeze (for milk)	-	-	squeeze (for milk)
560	stairs	-	-	-	stairs	-	stairs	stairs	-	-	stairs	stairs	-	stairs	-	stairs	stairs	-
561	stall	-	-	-	stall	-	stall	stall	-	-	stall	stall	-	stall	-	stall	stall	-
562	star	star	star	star	star	star	star	star	star	star	star	star	star	star	star	star	star	star
563	steal	-	-	-	steal	-	steal	steal	-	-	steal	steal	-	steal	-	steal	steal	-
564	steam	steam	steam	steam	steam	steam	steam	steam	steam	steam	steam	steam	steam	steam	steam	steam	steam	steam
565	step	step	step	step	-	step	-	-	step	step	-	-	step	-	step	-	-	step
566	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread	step on;tread
567	stepmother	-	-	stepmother	-	stepmother	-	-	-	stepmother	-	-	stepmother	-	stepmother	-	-	-
568	stick	stick	stick	stick	-	-	-	-	stick	stick	-	-	stick	-	stick	-	-	stick
569	stick,glue	-	-	-	stick,glue	-	stick,glue	stick,glue	-	-	stick,glue	stick,glue	-	stick,glue	-	stick,glue	stick,glue	-
570	stir	stir	stir	stir	stir	stir	stir	stir	stir	stir	stir	stir	stir	stir	stir	stir	stir	stir
571	stomach	stomach	stomach	stomach	stomach	stomach	stomach	stomach	stomach	stomach	stomach	stomach	stomach	stomach	stomach	stomach	stomach	stomach
571	stomach	-	stomach	stomach	-	stomach	-	-	stomach	-	-	-	stomach	-	-	-	-	stomach
572	stone	stone	stone	stone	stone	stone	stone	stone	stone	stone	stone	stone	stone	stone	stone	stone	stone	stone
573	stool,low chair	-	-	-	stool,low chair	-	stool,low chair	stool,low chair	-	-	stool,low chair	stool,low chair	-	stool,low chair	-	stool,low chair	stool,low chair	-
574	story	-	-	-	story	-	story	story	-	-	story	story	-	story	-	story	story	-
575	stove	stove	stove	stove	stove	stove	stove	stove	-	stove	stove	stove	stove	stove	stove	stove	stove	-
576	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight
577	straw mat	-	-	-	straw mat	-	straw mat	straw mat	-	-	straw mat	straw mat	-	straw mat	-	straw mat	straw mat	-
578	strength	-	-	-	strength	-	strength	strength	-	-	strength	strength	-	strength	-	strength	strength	-
579	stretch out (the arm)	-	stretch out (the arm)	stretch out (the arm)	-	stretch out (the arm)	-	-	stretch out (the arm)	-	-	-	stretch out (the arm)	-	stretch out (the arm)	-	-	stretch out (the arm)
580	stroke; touch	stroke; touch	stroke; touch	stroke; touch	-	stroke; touch	-	-	stroke; touch	stroke; touch	-	-	stroke; touch	-	stroke; touch	-	-	stroke; touch
581	sun	sun	sun	sun	sun	sun	sun	sun	sun	sun	sun	sun	sun	sun	sun	sun	sun	sun
582	swallow	-	-	-	swallow	-	swallow	swallow	-	-	swallow	swallow	-	swallow	-	swallow	swallow	-
583	sweat	sweat	sweat	sweat	sweat	sweat	sweat	sweat	sweat	sweat	sweat	sweat	sweat	sweat	sweat	sweat	sweat	sweat
584	sweep	-	-	-	sweep	-	sweep	sweep	-	-	sweep	sweep	-	sweep	-	sweep	sweep	-
585	sweet	-	-	-	sweet	-	sweet	sweet	-	-	sweet	sweet	-	sweet	-	sweet	sweet	-
586	swell	swell	swell	swell	swell	swell	swell	swell	swell	swell	swell	swell	swell	swell	swell	swell	swell	swell
587	table	-	-	-	table	-	table	table	-	-	table	table	-	table	-	table	table	-
588	tace; track	tace; track	tace; track	tace; track	-	tace; track	-	-	tace; track	tace; track	-	-	tace; track	-	tace; track	-	-	-
589	tail	-	-	-	tail	-	tail	tail	-	-	tail	tail	-	tail	-	tail	tail	-
590	taro	-	-	-	taro	-	taro	taro	-	-	taro	taro	-	taro	-	taro	taro	-
591	tea	tea	tea	tea	tea	tea	tea	tea	tea	tea	tea	tea	tea	tea	tea	tea	tea	tea
592	teach	teach	teach	teach	teach	teach	teach	teach	teach	teach	teach	teach	teach	teach	teach	teach	teach	teach
593	tear up, rip	tear up, rip	tear up, rip	tear up, rip	-	tear up, rip	-	-	tear up, rip	-	-	-	tear up, rip	-	tear up, rip	-	-	tear up, rip
594	ten	ten	ten	ten	ten	ten	ten	ten	ten	ten	ten	ten	ten	ten	ten	ten	ten	ten
595	ten thousand	-	-	-	ten thousand	-	ten thousand	ten thousand	-	-	ten thousand	ten thousand	-	ten thousand	-	ten thousand	ten thousand	-
596	tender young (plant)	tender young (plant)	tender young (plant)	tender young (plant)	-	tender young (plant)	-	-	tender young (plant)	tender young (plant)	-	-	tender young (plant)	-	tender young (plant)	-	-	tender young (plant)
597	tendon; sinew	tendon; sinew	tendon; sinew	tendon; sinew	-	tendon; sinew	-	-	tendon; sinew	tendon; sinew	-	-	tendon; sinew	-	tendon; sinew	-	-	tendon; sinew
598	that	-	-	-	that	-	that	that	-	-	that	that	-	that	-	that	that	-
599	the 12 animals representing the 12 years	the 12 animals representing the 12 years	the 12 animals representing the 12 years	the 12 animals representing the 12 years	-	the 12 animals representing the 12 years	-	-	the 12 animals representing the 12 years	the 12 animals representing the 12 years	-	-	the 12 animals representing the 12 years	-	the 12 animals representing the 12 years	-	-	the 12 animals representing the 12 years
600	there	-	-	-	there	-	there	there	-	-	there	there	-	there	-	there	there	-
601	there is	-	-	-	there is	-	there is	there is	-	-	there is	there is	-	there is	-	there is	there is	-
602	they	-	-	-	they	-	they	they	-	-	they	they	-	they	-	they	they	-
603	thick	thick	-	thick	thick	thick	thick	thick	thick	thick	thick	thick	thick	thick	thick	thick	thick	thick
604	thick,coarse	-	-	-	thick,coarse	-	thick,coarse	thick,coarse	-	-	thick,coarse	thick,coarse	-	thick,coarse	-	thick,coarse	thick,coarse	-
605	thief	thief	thief	thief	-	thief	-	-	thief	thief	-	-	thief	-	thief	-	-	thief
606	thin;fine	-	-	-	thin;fine	-	thin;fine	thin;fine	-	-	thin;fine	thin;fine	-	thin;fine	-	thin;fine	thin;fine	-
607	thin;flimsy	-	-	-	thin;flimsy	-	thin;flimsy	thin;flimsy	-	-	thin;flimsy	thin;flimsy	-	thin;flimsy	-	thin;flimsy	thin;flimsy	-
608	thing	-	-	-	thing	-	thing	thing	-	-	thing	thing	-	thing	-	thing	thing	-
609	think	think	think	-	think	-	think	think	think	think	think	think	think	think	think	think	think	think
610	thirsty	-	-	-	thirsty	-	thirsty	thirsty	-	-	thirsty	thirsty	-	thirsty	-	thirsty	thirsty	-
611	this	-	-	-	this	-	this	this	-	-	this	this	-	this	-	this	this	-
612	this year	-	-	-	this year	-	this year	this year	-	-	this year	this year	-	this year	-	this year	this year	-
613	thorn;splinter	thorn;splinter	thorn;splinter	-	thorn;splinter	-	thorn;splinter	thorn;splinter	thorn;splinter	thorn;splinter	thorn;splinter	thorn;splinter	thorn;splinter	thorn;splinter	thorn;splinter	thorn;splinter	thorn;splinter	thorn;splinter
614	thou	thou	thou	thou	thou	thou	thou	thou	thou	thou	thou	thou	thou	thou	thou	thou	thou	thou
615	thousand	thousand	thousand	thousand	thousand	thousand	thousand	thousand	thousand	thousand	thousand	thousand	thousand	thousand	thousand	thousand	thousand	thousand
616	thread	thread	thread	thread	-	thread	-	-	thread	thread	-	-	thread	-	thread	-	-	thread
617	three	three	three	three	three	three	three	three	three	three	three	three	three	three	three	three	three	three
618	thunder	thunder	thunder	thunder	thunder	thunder	thunder	thunder	thunder	thunder	thunder	thunder	thunder	thunder	thunder	thunder	thunder	thunder
619	tie (a cow) to	-	tie (a cow) to	tie (a cow) to	-	tie (a cow) to	-	-	tie (a cow) to	-	-	-	tie (a cow) to	-	tie (a cow) to	-	-	tie (a cow) to
620	tiger	tiger	tiger	tiger	tiger	tiger	tiger	tiger	tiger	tiger	tiger	tiger	tiger	tiger	tiger	tiger	tiger	tiger
621	tile	tile	tile	tile	-	tile	-	-	-	tile	-	-	tile	-	tile	-	-	tile
622	tired	-	-	-	tired	-	tired	tired	-	-	tired	tired	-	tired	-	tired	tired	-
623	to bet	to bet	to bet	to bet	-	to bet	-	-	to bet	to bet	-	-	to bet	-	to bet	-	-	-
624	to block (the wind)	to block (the wind)	to block (the wind)	to block (the wind)	-	to block (the wind)	-	-	to block (the wind)	to block (the wind)	-	-	to block (the wind)	-	to block (the wind)	-	-	to block (the wind)
625	to borrow (money)	to borrow (money)	to borrow (money)	to borrow (money)	-	to borrow (money)	-	-	to borrow (money)	to borrow (money)	-	-	to borrow (money)	-	to borrow (money)	-	-	to borrow (money)
