ID	ENGLISH	POS GLOSS
11154	printer (n.)	seh in canamtu
11155	printing press (n.)	canamnak seh
11156	prior (adj.)	hlan deuh ah; e.g. I have a prior engagement and so I cannot go with you = Rak i timh cangmi ka ngeih caah kan zul kho lai lo.
11157	priority (n.)	tuan deuh rak sinak
11158	prism (n.)	aa tluk ciomi kap a ngeimi thil
11159	prison (n.)	thonginn
11160	prisoner (n.)	thongtla
11161	pristine (adj.)	hlanlio thil a simi
11162	privacy (n.)	mah lawngte i umnak , hawi loin umnak
11163	private (adj.)	pumpak a simi; e.g. Private car = Mah bing mawttawka in private: zapi hmai ah si loin, a thli in
11164	private (n.)	sen a hmu rih lomi ralkap
11165	privation (n.)	nunnak ca i a herhmi thilri ngeih lo; e.g. Many children died because of privation during the war = Ral lioah cun nunnak ca i a herhmi thilri an ngeih lo caah ngakchia tampi an thi. deprivation zong.
11166	privilege (n.)	tinvo hmuhmi; e.g. Every child has the privilege of going to school = Ngakchia nih
11167	sianginn kainak tinvo an ngei cio. privileged (adj.)	tinvo a ngei khunmi
11168	privily (adv.)	a thli tein
11169	privy (adj.)	a thli a simi
11170	privy council (n.)	uk bawi nih ruahnak petu ah aa chiahmi bu
11171	prize (n.)	laksang , lawmh man
11172	prize (v.)	biapi ngai i ruah; e.g. He prizes his watch = A suimilam kha biapi ngai ah a ruah.
11173	pro (adv.)	duh leinak; e.g. Pro and con = Duh leinak le duh lo leinak.
11174	probability (n.)	si dawh sinak
11175	probable (adj.)	a si hmanh maw , si nih a dawh timi
11176	probably (adv.)	si nih a dawh ngai , si dawh ngaiin
11177	probate (n.)	upadi ningin rovuihnak ca cu tuah a si ti fianternak; rovuihnak ca a hmaan taktak tinak lehhmah he ttemchihmi
11178	probation (n.)	hneksaknak
11179	probationer (n.)	hneksakmi pa
11180	probe (v.)	purh , thukpi in kawl
11181	probity (n.)	zumh awk tlak sinak , dinnak
11182	problem (n.)	a harmi biahalnak , harnak
11183	problematic (adj.)	a harmi biahalnak a simi , a harmi thil a simi
11184	problematical (adj.)	a harmi a simi
11185	proboscis (n.)	vui nor.
11186	procedure (n.)	pakhat hnu pakhat aa chang lengmang in tuahning
11187	proceed (v.)	hmailei i kal
11188	proceeding (n.)	tuahmi
11189	proceedings (n.)	taza cuainak aa dot tete in tuahmi ttialmi
11190	proceeds (n.)	tuahmi chungin hmuhmi tangka
11191	process (n.)	hmailei i kal lengmangnak
11192	procession (n.)	mibu artlang in kal nuahmah
11193	processional (adj.)	hmailei i kalnak he aa pehtlaimi
11194	proclaim (v.)	thanh
11195	proclamation (n.)	thanhnak
11196	proconsul (n.)	peng pakhat uktu mangki bawi
11197	procrastinate (v.)	hmailei caan i tuah ding i thawn
11198	procrastination (n.)	hmailei tuah te ding i thawnnak
11199	procreate (v.)	hrin , tefa thlah
11200	procreation (n.)	hrinnak , thlahnak
11201	proctor (n.)	sianginn sang i phung tlaitu
11202	procurable (adj.)	hmuh khawhmi, cawk khawhmi
11203	procurator (n.)	tuahpiaktu
11204	procure (v.)	hmuh , cawk , ngeih
11205	prod (v.)	fung in sawh
11206	prodigal (adj.)	a tlaumi
11207	prodigality (n.)	tlaunak
11208	prodigally (adv.)	sawksam ngaiin
11209	prodigious (adj.)	a ngan ngaingaimi thil , a ttha ngaingaimi thil
11210	prodigy (n.)	khuaruahhar in a tthami thil
11211	produce (v.)	chuah; e.g. Produce your ticket = Na tiket hun chuah.
11212	produce (n.)	chuahmi thil; e.g. Vegetables are the produce of our garden = Kan dum chuahmi cu tihang a si.
11213	producer (n.)	chuahtu
11214	product (n.)	chuahmi thil
11215	production (n.)	chuahnak
11216	productive (adj.)	thil tampi a chuahmi
11217	productiveness (n.)	tam piin chuah khawhnak
11218	productivity (n.)	tampi in chuah khawhnak
11219	profanation (n.)	thurhhnawmhnak
11220	profane (v.)	thurhhnawmh
11221	profaness (n.)	thurhhnawmhnak
11222	profanity (n.)	thurhhnawmhnak
11223	profess (v.)	phuan , zapi sinah chim
11224	profession (n.)	rian
11225	professional (adj.)	thiam ngaiin cawnmi thil
11226	professionally (adv.)	a rian zulh in
11227	professor (n.)	sianginn sang saya
11228	professorial (adj.)	sianginn sang saya he aa pehtlaimi thil
11229	professorship (n.)	khawleih saya sinak.
11230	proffer (v.)	pek
11231	proficiency (n.)	thiamnak
11232	proficient (adj.)	thiam ngaingai; e.g. She is proficient in music = Amah cu hla a thiam ngaingai.
11233	profile (n.)	sirlei in zohnak , sirlei in thlakmi hmanthlak
11234	profit (n.)	amiak
11235	profit (v.)	miak; e.g. He profits ten kyats = Phar hra a miak.
11236	profitable (adj.)	a tthahnemmi , a miak a chuahpi khomi
11237	profitably (adv.)	tthahnem ngaiin
11238	profiteer (n.)	a miak lawng a kawlmi
11239	profitless (adj.)	a miak a um lomi, a tthahmen lomi
11240	profligacy (n.)	tthat lo ngaingainak
11241	profligate (adj.)	mitthalo ngaingai ningzah hngal loin a ttha lomi , phaisa duhduh in sa hmangmi , i sumrennak a ngei lomi
11242	profound (adj.)	a thuk ngaingaimi
11243	profoundity (n.)	thuknak
11244	profuse (adj.)	tampi; e.g. Profuse thanks = Lawmhnak tampi chimmi
11245	profusion (n.)	tampi sinak
11246	progenitor (n.)	hringsortu
11247	progeny (n.)	hrinsormi tefa
11248	prognosis (n.)	zawtnak a kalning ding chimchungnak
11249	prognostic (adj.)	hmailei ah zeitindah a si lai ti hngalhnak a simi
11250	prognosticate (v.)	rak hngalh chung
11251	prognostication (n.)	rak hngalh chungnak
11252	program (n.)	tuah dingmi thil
11253	progress (n.)	hunchonak , tthanchonak
11254	progress (v.)	hmailei kal
11255	progression (n.)	hmailei i kalnak
11256	progressive (adj.)	hmailei i a kalmi , a hung chomi
11257	prohibit (v.)	kham , thlauh
11258	prohibition (n.)	khamnak , thlauhnak
11259	prohibitionist (n.)	zu din kham a duhmi
11260	prohibitive (adj.)	dawntu khamtu a simi
11261	project (n.)	rianttuan awk i timhmi
11262	project (v.)	a fong
11263	projectile (n.)	cheh khawhmi thil
11264	projection (n.)	fonnak
11265	projector (n.)	baisikup chuahnak seh
11266	proletarian (n.)	michia zapi
11267	proletariat (n.)	misifak bik pawl
11268	prolific (adj.)	tampi chuahtu a simi; e.g. He is a prolific writer = Amah cu ca tampi a ttialmi a si.
11269	prolix (adj.)	a sau tukmi; e.g. He is a prolix speaker = A biachim a sau tukmi a si.
11270	prologue (n.)	biahmaithi
11271	prolong (v.)	sauter
11272	prolongation (n.)	sauternak
11273	promenade (v.)	i chawh; e.g. He promenaded in the garden = Dum chungah aa chok.
11274	prominence (n.)	langhnak , sannak
11275	prominent (adj.)	minthangmi , a langmi
11276	promiscuity (n.)	nu le pa kong ah duh paoh in khuasaknak
11277	promiscuous (adj.)	1. i cawh nelnul i a ummi 2. nu le pa kong ah duh paoh in a ummi
11278	promise (n.)	biakamnak
11279	promise (v.)	biakam
11280	promising (adj.)	san a tlai lai ti zumh awk tlakmi
11281	promissory (adj.)	biakamnak ca i tuahmi; e.g. Promissory note = Kan cham hrimhrim lai tinak caah ttialmi ca
11282	promontory (n.)	rili chung i a vun i sawhmi vawlei fong
11283	promote (v.)	kaiter; e.g. He was promoted to sixth standard = Amah cu tang ruk a an hun kaiter.
11284	promotion (n.)	kaiternak, umternak.
11285	promoter (n.)	kaitertu, a hun kaitertu.
11286	prompt (adj.)	khulrang tein tuahmi
11287	prompt (v.)	drama tuah tik i a tuahtu pawl bia chim awk chimh.
11288	prompter (n.)	cu bantukin bia a chimtu hna
11289	promptitude (n.)	thil tuah tik le bia khia tikah khulrang tein tuah khawhnak.
11290	promulgate (v.)	1. zapi theih in thanh, zung in thanh 2. karhter
11291	promulgation (n.)	thanhnak, kaupi in karhternak
11292	prone (adj.)	1. a bawktakhup in a bawkmi; e.g. He was in a prone position = A bawktakhum in a um. 2. sortluk; e.g. He is prone to error = Palhnak lei ah khan a sor a tlu (palhnak kha a tuah lengmang, palhnak tuah lengmang, palhnak tuah lei kha a duh).
11293	prong (n.)	te, fungte
11294	pronounce (v.)	1. chim; e.g. Pronounce the words distinctly = Bia kha fiang tein chum hna. 2. thanh.
11295	pronounced (adj.)	fak ngaiin tanhmi, a fiangmi
11296	pronouncement (n.)	thanhnak.
11297	pronounciation (n.)	biafang a aw chuah fiang tein chimnak
11298	proof (n.)	1. thil pakhatkhat a hmaan hrimhrim ti chimnak le langhternak 2. seh in nammi ca a hmaan hmaan lo zoh ding a simi
11299	prop (v.)	doh; e.g. Prop the clothes line with a stick = Puan zarnak hri kha fung in doh.
11300	prop (n.)	dohnak tung
11301	propaganda (n.)	zumhning le ruahning karhternak zapi sinah chimnak
11302	propagandist (n.)	zumhning le ruahning a karhtertu
11303	propagate (v.)	zumhning le ruahning karhter, zapi sin i chim
11304	propagation (n.)	1. thlaici karhternak 2. thawngpang siseh hngalhnak le fimnak siseh karhternak
11305	propel (v.)	hmailei i zur ti i kalter
11306	propeller (n.)	hmailei i a kaltertu , vanlawng herlep
11307	propensity (n.)	i chuahkeh pimi duhnak
11308	proper (adj.)	a hmaanmi , aa tlakmi , a dikmi
11309	properly (adv.)	aa tlak ngaiin , aa rem tein
11310	property (n.)	thilri
11311	prophecy (n.)	hmailei thil kong chim chungnak
11312	prophesy (v.)	hmailei thil kong chimchung
11313	prophet (n.)	profet , hmailei thil kong a chimtu
11314	prophetess (n.)	profet nu
11315	prophetic (adj.)	profet he aa pehtlaimi
11316	prophylactic (adj.)	zawtnak khamnak ca i tuahmi
11317	propitiate (v.)	thindamter
11318	propitiation (n.)	thindamternak
11319	propitious (adj.)	mah lei ca i a tthami
11320	proportion (n.)	thil pakhatkhat thil dang he aa rupning; e.g. This door is too narrow in proportion to its height = Hi innka cu a tung he i rup dingah a bi tuk.
11321	proportional (adj.)	aa rupmi; e.g. Payment should be proportional to the work done = Tuan man pekmi cu ttuanmi rian he aa rupmi a si lai.
11322	proportionally (adv.)	aa rup ning tein
11323	proportionate (adj.)	aa rumpi
11324	proportionately (adv.)	aa rupning tein.
11325	proposal (n.)	1. cu bantuk kha bantuk in kan tuah lai tiah chimmi 2. tlangval nih ngaknu i thi u sih tiah a sawm khi
11326	propose (v.)	1. ruahnak chim , tuah awk chim 2. kan i thi lai ti i hal
11327	proposition (n.)	ruah awkah chuahpimi bia
11328	propound (v.)	ruahmi thil a hmaannak kong thukpi in chim
11329	proprietary (adj.)	ngeihmi thil a simi
11330	proprieteress (n.)	ngeitu nu
11331	proprietor (n.)	ngeitu
11332	proprietorship (n.)	ngeitu sinak
11333	propriety (n.)	a hmaan a dikmi ziaza
11334	propulsion (n.)	hmailei i namnak
11335	prosaic (adj.)	bia sawhsawh a simi
11336	proscribe (v.)	hau leng i chuah, upadi leng i chuah, khap
11337	proscription (n.)	khapnak
11338	prose (n.)	bia sawhsawh
11339	prosecute (v.)	biaceihnak zung i taza cuai awk i chuahpi , sual puh
11340	prosecution (n.)	sual puhnak , taza-cuainak
11341	prosecutor (n.)	sualpuhtu , taza a cuaitu
11342	proselyte (n.)	phunhrawmh a simi , zumhnak/ruahnak pakhat in pakhat ah aa thlengmi
11343	prospect (n.)	1. khuacuanh i hmuhmi thili khi 2. hmailei thil cuanhnak
11344	prospective (adj.)	hmailei ah a ra lai tiah i ruahchanmi
11345	prospectively (adv.)	i ruahchan ngaiin
11346	prospector (n.)	hmun pakhat chungin thil ttha a chuak lai tiah a kawlmi
11347	prospectus (n.)	thil pakhatkhat kong thanhnak ttialnak cauk
11348	prosper (v.)	hlawhtlin
11349	prosperity (n.)	hlawhtlinnak , rumnak
11350	prosperous (adj.)	hlawhtlingmi , a rummi
11351	prostitute (n.)	hlawhhlangnu
11352	prostitution (n.)	hlawhlang sinak
11353	prostrate (v.)	bok
11354	prostration (n.)	bawhnak
11355	prosy (adj.)	bia sawsawh a simi, a nuam lomi
11356	protagonist (n.)	drama tuahnak i biapi bik a simi, tuanbia chung i biapi bik a simi, cu bangin thil taktak zong i biap bik a simi pa.
11357	protect (v.)	hunphenh
11358	protection (n.)	huhphenhnak
11359	protective (adj.)	huhphenhnak a simi
11360	protector (n.)	hupphengtu
11361	protectorate (n.)	zohkhenhmi ram
11362	protege (n.)	mi nih rak zohkhenhpiakmi minung
11363	protein (n.)	sadah; e.g. Meat, milk, eggs, etc. contain protein = Sa, cawhnuk, arti hna chungah hin sadah a um.
11364	protest (v.)	al , duh lonak langhter , soisel
11365	Protestant (n., prop.)	Roman Katholik le Grik Katholik a si lomi Khrihfa paohpaoh.
11366	Protestantism (n., prop.)	Protestant Khrihfa zumhning.
11367	protestation (n.)	alnak
11368	protocol (n.)	1. cozah pahnih nih hnatlaknak an tuah i ca in ttialmi a hmasa bik a hran 2. ziaza lei ah ningcang tein umnak, bawi sin um tik i a ningcang tein tuahserning; e.g. Were the seating arrangements for the dinner party according to protocol = Zanriah einak i tthutning ding kha a ningcang tein a si maw? Hika ah hin anih a tthu lai, khika ah khin anih a tthu lai tiin ttha tein tuah a si maw? Kha bantuk tuah ningcang kha protocol timi cu a si.
11369	proton (n.)	atom muru.
11370	protoplasm (n.)	saram le thingkung i nunnak hram
11371	prototype (n.)	a si hmasa bikmi thil; e.g. A hollowed log was the prototype of modern ships =Thingtum dao kha tuchan tilawng hna an .thawhkehnak a rak si ko, tuchan tilawng han hi an rak si hmasa bikmi cu thingtum dao a si.
11372	protract (v.)	sauter
11373	protraction (n.)	sauternak
11374	protractor (n.)	thil tlang a ki tahnak, dikiri zeizat dah a si ti tahnak
11375	protrude (v.)	fong
11376	protrusion (n.)	fonnak
11377	protuberance (n.)	puarnak , pohnak , ruah a sur i thing a puar i a poh khi
11378	protuberant (adj.)	a parmi , a pohmi , a pawngmi
11379	proud (adj.)	aa porhlawmi
11380	proudly (adv.)	porhlawt ngaiin
11381	prove (v.)	a hmaan tiah chim , a hmaan tiah langhter
11382	provender (n.)	saram rawl
11383	proverb (n.)	phungthlukbia
11384	proverbial (adj.)	phungthlukbia a simi
11385	proverbially (adv.)	phungthlukbia ah/in
11386	provide (v.)	pek
11387	provided (conj.)	cuti a si ahcun cuti cun a si lai
11388	providence (n.)	Pathian zohkhenhnak
11389	provident (adj.)	hmailei ca ruatmi; e.g. Provident men lay aside money for their families = Hmailei ca a ruatmi nih cun an innchungkhar caah tangka an khon,
11390	providential (adj.)	Pathian thawngin a simi
11391	province (n.)	ram pakhat chung i tthen pakhat , peng pakhat
11392	provincial (adj.)	peng pakhat he aa pehtlaimi
11393	provincialism (n.)	peng pakhat ca lawng tuaktannak lungthin
11394	provisio (n.)	cuti in a si ahcun cu bantukin a si lai tiin ttialmi ca
11395	provision (n.)	pekmi thil , khonmi thil , ti le rawl
11396	provisional (adj.)	caan tawite chung ca
11397	provisions (n.)	ei awk din awk ti le rawl
11398	provocation (n.)	thinphawhnak
11399	provoke (v.)	thinhpawh
11400	provost (n.)	1. biakinn hngaktu tlangbawi 2. khawleih sianginn saya 3. mitlaitu (palik bawi) provost marshal: sualnak a tuahmi ralkap a tlaitu hna
11401	prow (n.)	tilawng a hmailei fong
11402	prowess (n.)	raltthatnak
11403	prowl (v.)	sa seh awk kawl i vah, cakeite hna an vah khi
11404	proximate (adj.)	a naih biktu a simi , hnulei in siseh , hmailei in siseh a naih biktu
11405	proximity (n.)	naihnak; e.g. I rested in close proximity to the fire = Mei naihnak ah ka it.
11406	proxy (n.)	aiawhtu
11407	prude (n.)	zeipaoh hmanh i ningcang tuk i um a duhmi
11408	prudence (n.)	thil tuah hlan i ttha tein ruah hmasanak
11409	prudent (adj.)	thil tuah hlan i ttha tein a ruat hmasami
11410	prudential (adj.)	thil tuah hlan i khua a ruatmi
11411	prudery (n.)	ziaza tthat aa uangmi
11412	prudish (adj.)	ziaza dawh lo a hua ngaimi
11413	prune (n.)	mirang khuhlu phun khat
11414	prune (v.)	a herh lomi, thing nge hna tan
11415	pry (v.)	1. bih 2. kalh, fung in kalh 3. virhkhoih
11416	psalm (n.)	salm , hla , Baibal chung Pathian biaknak hla
11417	psalmist (n.)	hla phuahtu
11418	psalter (n.)	salm bu
11419	psaltery (n.)	tingtang phun kat
11420	pseudo (adj.)	a deu a simi
11421	pseudonym (n.)	min deu
11422	psyche (n.)	lungchung , thinlung , thlarau
11423	psychiatry (n.)	lungthin zawmi damhnak
11424	psychology (n.)	lungthin umtuning kong cawnnak
11425	pub (n.)	zu dawr
11426	puberty (n.)	nutling patling hung sinak
11427	public (n.)	zapi
11428	public (adj.)	zapi thil a simi; e.g. Public school = Zapi sianginn public
11429	house (n.)	zapi inn, zureu dawrnak inn
11430	publican (n.)	ngunkhuai khawltu
11431	publication (n.)	1. zapi rel awkah cauk chuahnak 2. zapi rel awk le hngalh awk i chuahnak
11432	publicity (n.)	zapi hngalh awkin tuahnak
11433	publicly (adv.)	zapi hngalh tein
11434	publish (v.)	zapi hngalh awk le rel awkin ca le cauk chuah
11435	publisher (n.)	zapi rel awkin cauk a chuanhtu
11436	pucker (v.)	kor; e.g. The coat puckers up at the shoulders = Angki leng cu a liang ah kor,
11437	pucker (n.)	kornak
11438	pudding (n.)	thaw ngaiin an sermi changreu phun khat
11439	puddle (n.)	nawncek i ti aa dilmi
11440	pudgy (n.)	a thau i a tawimi
11441	puerile (adj.)	upapi ngakchia bantuk i a ummi
11442	puff (v.)	1. pak, kuak pak 2. a thaw a ha; e.g. She puffed as she climbed the hill = Tlang i a kai ah khan a thaw a ha.
11443	pugilist (n.)	kuttum in aa thongmi , thonghthiam
11444	pugnacious (adj.)	velh a duh ngaimi
11445	pugnacity (n.)	velh duhnak
11446	pull (v.)	1. hnuh; e.g. Do not pull my hair = Ka sam ka hnuk hlah. 2. meithal phelh; Pull the trigger of the gun = Meithal zang kha phelh. pull oneself together = mah le man i uk khawh pull through = harnak chungin chuah
11447	puller (n.)	hnuktu
11448	pullet (n.)	arla
11449	pulley (n.)	hri hnuhnak ca i tuahmi puli , aa mer khomi
11450	Pullman (n., prop.)	tlanglawng i ihnak a ummi
11451	pulp (n.)	1. thingthei a sa 2. thingkung a sa caku sernak i an hmanmi khi
11452	pulpit (n.)	biachimnak donhhlei
11453	pulpy (adj.)	a nemmi
11454	pulsate (v.)	thitur bantukin tur
11455	pulsation (n.)	thitur
11456	pulse (n.)	thitur , kan kut rek i kan hmeh i aa theimi khi
11457	pulverize (v.)	dipte i den
11458	puma (n.)	cakei phun khat
11459	pummel (v.)	thongh
11460	pump (v.)	thli in tum , chem , chuahter , mawttawka ke tum hawi hna khi
11461	pump (n.)	ti dawpnak seh
11462	pumpkin (n.)	mai
11463	pun (n.)	bia in nihchuahnak tuah
11464	punch (v.)	thongh
11465	punch (n.)	theithu hawng
11466	puncheon (n.)	zureu chiahnak um nganpi
11467	punctilious (adj.)	thil tining le puai tuahnak i thil hme tete tiang thengtheng i tuah dih a duhmi
11468	punctual (adj.)	caan hman tein a zulmi
11469	punctuality (n.)	a caan hmaan tein zulhnak
11470	punctuate (v.)	cattial tik i comma tehna , full stop tehna , etc. hmaan tein chiah
11471	punctuation (n.)	cattial tik i comma tehna, full stop tehna, etc. hmaan tein chiahnak. punctuation
11472	mark (n.)	biadonghnak, biadinhnak, biahalnak, hmelchunhnak pawl
11473	puncture (v.)	fung zum in chunh i pemh
11474	pundit (n.)	kala ca a thiam ngaingaimi mifim
11475	pungency (n.)	rim le lei in theihmi thil ah a thak, a tek, a almi an sinak
11476	pungent (adj.)	1. a thak a tekmi 2. a thak a tekmi bia
11477	punish (v.)	dantat
11478	punishable (adj.)	dantat khawh a simi , dantat awk tlakmi
11479	punishment (n.)	dantatnak
11480	punitive (adj.)	dantatnak ca i tuahmi
11481	puny (adj.)	a tthawng lomi, a hmete
11482	pup (n.)	uicofa
11483	pupil (n.)	1. siangngakchia 2. mitfalai
11484	puppet (n.)	1. lentecelhnak tunu, hri in an hnuh hna i an cawl an canghtermi 2. cu bantuk a simi minung
11485	puppy (n.)	uicofa
11486	purchasable (adj.)	cawk khawhmi
11487	purchase (v.)	cawk
11488	purchaser (n.)	cawtu
11489	pure (adj.)	a thiangmi, a fiangmi
11490	purely (adv.)	thiang tein, a dang nih telh lo tein
11491	pureness (n.)	thiannak
11492	purgative (adj.)	thianternak a simi
11493	purgative (n.)	chungthlet si
11494	purgatory (n.)	Roman Katholik zumhning ah, vancung phak hlan i thlarau um chungnak
11495	purge (v.)	a hnawmmi kha thianh
11496	purification (n.)	thianternak
11497	purify (v.)	thianter
11498	purist (n.)	zei paoh ah thian a uarmi
11499	Puritan (n., prop.)	England ram i Protestant Khrihfa, thiannak le ziaza ttha a rak uarmi.
11500	puritan (n.)	biaknak lei i thiannak le ziaza ttha a uarmi
11501	puritanical (adj.)	ziaza ttha rumro a uarmi
11502	purity (n.)	thiannak
11503	purl (v.)	tiva a luan hliahmah khi
11504	purple (adj.)	a sen le a dum aa cawhmi mui
11505	purplish (adj.)	senduk dengmang
11506	purport (v.)	a sullam si dawh a simi siter chommi, sawhtermi, timhmi si dawh siter; e.g. He went to India purportedly to buy things, but he did not buy anything whatsoever = India ah thil caw ding pungsan in a kal, sihmanhsehlaw zeihmanh a caw lo.
11507	purport (n.)	thil pakhatkhat ttialmi/tuahmi a sullam a tlangpi le aa tinhmi; mi pakhat nih thil a tuah tikah zei ruangah dah a tuah ti a sullam a chimnak
11508	purpose (v.)	tinh
11509	purpose (n.)	timhmi on purpose: timh ciammam tein
11510	purposeful (adj.)	i timhmi ngei in tuahmi
11511	purposeless (adj.)	timhmi a ngei lomi
11512	purposely (adv.)	i timh ciammam tein
11513	purr (v.)	chizawh ngur hliahmah
11514	purse (n.)	tangka bawm
11515	purser (n.)	tilawng, cung tangka tlaitu
11516	pursuance (n.)	zulhnak
11517	pursuant (adj.)	zulhmi , tuahmi
11518	pursue (v.)	zulh
11519	pursuer (n.)	zultu
11520	pursuit (n.)	dawi, zulh
11521	purvey (v.)	pek; e.g. A butcher purveys meat to his customers = Cawsa zuartu hih a cawtu pawl kha sa a pek (zuarh) hna.
11522	purveyance (n.)	peknak
11523	purveyor (n.)	petu
11524	purview (n.)	rianttuannak chung, pum mit in siseh ruahnak mit in siseh hmuh khawh chung
11525	pus (n.)	hmahnai
11526	push (v.)	nam; e.g. Push the door = Innka kha nam.
11527	push (n.)	namnak
11528	pusillanimity (n.)	ralchiatnak
11529	pusillanimous (adj.)	a ral a chiami
11530	puss (n.)	chizawh
11531	pussy (n.)	chizawh
11532	put (v.)	1. chiah; e.g. I put the book on the table = Cabuai cungah cauk ka chiah. 2. paih; e.g. I put sugar in the tea = Lakphak ah tlanthling ka paih. Sullam dangdang hna. put to death = thah; e.g. He was put to death = Amah cu an thah. A ship puts out to sea = Tilawng cu rili ah a kal, khualtlawm ah aa thawh. A ship puts in to port = Tilawng cu lawng dinhnak hmun ah aa din. a ship puts about to change its direction = Tilawng cu a kalnak lei thlen awkah aa mer put by = i chiah, i ret, hmailei hman awk i i chiah put forth = a keo, a kho, a thang (thlaici) put off = chiah ta, phoih put on = aih, angki aih, i titer put out = mei hmih put through = tlamtling tein tuah i lim put to it = hnek (hneek) put up = tlun; e.g. Where did you put up? = Khuazei ah dah na tlun? put up with = in, lungsau in in; e.g. It is hard to put up with him = Amah cu in awk a har ko put heads together
11533	= hmunkhat i ttuan tti past tense and past participle of put = put. putrefaction (n.)	thutnak
11534	putrefy (v.)	thu; e.g. The meat has putrefied = Sa cu a thu cang.
11535	putrid (adj.)	a thu a nammi
11536	putt (v.)	golf ball a kua chung i luhter.
11537	puttee (n.)	ngalmen
11538	putty (n.)	canphio awng benhnak si bang
11539	puzzle (n.)	a harmi thil; e.g. How to get all my things into one box is a puzzle = Ka thil vialte kuang pakhat chung i sanh dih ding cu thil har a si.
11540	puzzle (v.)	khuaruahharter; e.g. How the cat got out of the box puzzled us = Zeitindah chizawh kha kunag chungin a chuah ti cu kan khuaruah a kan hartertu a si.
11541	pygmy (n.)	mi tawite mi hmete, pe nga tang a simi, a phun in an um.
11542	pyjamas (n.)	British. zan ihnak tawhrolh. Zong pajamas.
11543	pylon (n.)	thir tung sangpipi elektrik zamnak i an hmanmi
11544	pyorrhoea (n.)	hani thi chuah zawtnak
11545	pyramid (n.)	hlanlio Izipt siangpahrang thlan , piramit
11546	pyramidal (adj.)	piramit bantuk
11547	pyre (n.)	mithi khanghnak thingpon
11548	pyrotechnic (adj.)	mei he aa pehtlaimi thil
11549	pyrotechnics (n.)	mei tuah thiamnak
11550	python (n.)	lim (rul)
11551	quack (v.)	compai awnh
11552	quack (adj.)	sibawi a si lo nain sibawi bantukin a tuahmi; e.g. Quack doctor = Sibawi deu.
11553	quackery (n.)	mi hrokhrawl pawl tuahmi rian
11554	quadrangle (n.)	kap pali a ngeimi hmun
11555	quadrangular (adj.)	kap pali a ngeimi hmun bantuk
11556	quadrant (n.)	a pummi thil cheu li i cheu khat.
11557	quadrilateral (adj.)	kap pali a ngeimi thil.
11558	quadruped (adj.)	ke pali a ngeimi saram
11559	quadruple (adj.)	a let li.
11560	quadruplet (n.)	a fa pali phir chung i pakhat
11561	quadruplets (n.)	fa pali phir.
11562	quagmire (n.)	nawncek umnak hmun
11563	quail (n.)	mimte
11564	quaint (adj.)	phun dang tein a ttha vemi, an tar cang ca le an hlunh cang ruang i; e.g. We admire quaint photographs = Hmanthlak hlun kha an hlunh cang ruangah kan tlaihchan hna.
11565	quake (v.)	hninh, ther; e.g. She quakes with fear = A ttih tuk ah a ther. earthquake = li hnin.
11566	Quaker (n., prop.)	Khrihfabu pakhat a si vemi, ral a duh lo i umtu ziaza i sawhsawh tein um hi Khrihfa ziaza a si tiin a uarmi pawl.
11567	qualification (n.)	1. thlennak, remhnak; e.g. You can accept his statement without qualification = A chimmi cu thlennak zeihmanh um loin na cohlan khawh ko lai. 2. aa tlakmi sitertu ; cucu cawnnak in hmuhmi; e.g. To apply for the post of a clerk, the required qualification is tenth standard pass = Cazi rian soknak caah tlaktertu a herhmi cu tanghra awn a si.
11568	qualified (adj.)	aa tlakmi.
11569	qualify (v.)	aa tlakmi si; e.g. He does not qualify for the job = Rian caah aa tlak lo.
11570	qualitative (adj.)	thil a sining he aa pehtlaimi
11571	quality (n.)	sining, phun; e.g. That is a good quality of cloth = Khikhi puan phun ttha phun a si.
11572	qualm (n.)	lungttha lo lungaw ttawm i um khi; e.g. He has no qualms about borrowing money = Mi tangka cawi a zeihmanh a poi lo.
11573	quandary (n.)	a ruah awk hngal lo i umnak, awlokchong i um.
11574	quantitative (adj.)	a tam a tlawm he aa pehtlaimi , tah khawh a simi
11575	quantity (n.)	cu zat kha zat a si tinak, a tam a tlawm zeizat tinak; e.g. He can eat a great quantity of food = Rawl tampi a ei khawh.
11576	quarantine (v., adj.)	a chawnh khawhmi zawtnak a ngeimi a zawtnak a thian tiang hmun dang i chiah; e.g. James was quarantined when he had measles = James cu hmaihu in a zawt ah khan a dang ah an chiah.
11577	quarrel (v.)	i sik
11578	quarrelsome (adj.)	sik a duh ngaimi
11579	quarry (n.)	1. lung cawhnak khor. 2. pelmi sa.
11580	quarry (v.)	lung cawh, lung khoih.
11581	quart (n.)	gallon cheu li cheu khat.
11582	quarter (n.)	cheu li cheu khat
11583	quarter-century - (n.) a cam phanh voi 400 nak.
11584	quarterdeck (n.)	tilawng chung i bawi pawl umnak
11585	quarterly (n.)	thla thum dan i voi khat lengmang tuahmi/a ummi.
11586	quartermaster (n.)	ralkap chung i tirawl le thilri zokkhenhtu
11587	quarters (n.)	umnak inn.
11588	quartet, quartette (n.)	pali hlasabu.
11589	quash (v.)	hrawh, hloh.
11590	quasi (adj., pref.)	a si bantuk; e.g. Quasi humour (humor) = Nihechuak a si bantukmi.
11591	quatrain (n.)	cang khat i tlar li a ngeimi hla.
11592	quaver (v.)	ther; e.g. His voice is quavering = A aw a ther.
