ID	DOCULECT	CONCEPT	IPA	TOKENS	NOTE	BORROWING	CHINESE	COGID	HANZI
21545	Darang_Taraon	the rice plant	kie³⁵	k i e ³⁵				3262	
21546	Darang_Taraon	the wing	tɑ³¹loŋ⁵⁵	t ɑ ³¹ ◦ l o ŋ ⁵⁵				2957	
21547	Darang_Taraon	the meat	tɑ³¹bɹeŋ⁵³	t ɑ ³¹ ◦ b ɹ e ŋ ⁵³				2087	
21552	Darang_Taraon	the river	tɯ³¹lɯn³⁵	t ɯ ³¹ ◦ l ɯ n ³⁵				2332	
21559	Tibetan_Written	to flow	(tɕhu) rgjug	tɕh u _ r g j u g	!			1669	
21561	Darang_Taraon	the tiger	bo⁵⁵dɑ⁵⁵	b o ⁵⁵ ◦ d ɑ ⁵⁵				3565	
21562	Pumi_Lanping	light (of weight)	ʒdʒɛ̃⁵⁵	ʒ dʒ ɛ̃ ∼ ⁵⁵				3461	
21565	Darang_Taraon	the house	ŋ³⁵	ŋ ³⁵				1912	
21567	Jingpho	the hoof	lă³¹khʒuʔ³¹	l ă ³¹ ◦ kh ʒ u ʔ ³¹	!			3142	
21572	Darang_Taraon	the wood (material)	mɑ³¹sɯŋ⁵³	m ɑ ³¹ ◦ s ɯ ŋ ⁵³				2974	
21575	Darang_Taraon	the sea	tɯ³¹ɹɯi⁵³dɯ³¹ɹɯŋ⁵⁵	t ɯ ³¹ ◦ ɹ ɯ i ⁵³ ◦ d ɯ ³¹ ◦ ɹ ɯ ŋ ⁵⁵				3120	
21578	Darang_Taraon	firewood	mɑ³¹sɯŋ⁵³	m ɑ ³¹ ◦ s ɯ ŋ ⁵³				3641	
21585	Pumi_Lanping	to plant (vegetals, rice)	xə¹³tiu⁵⁵	x ə ¹³ ◦ t i u ⁵⁵				2223	
21587	Darang_Taraon	knife	tɑ³¹ɹɑ⁵⁵	t ɑ ³¹ ◦ ɹ ɑ ⁵⁵				3648	
21589	Daofu	soft	ndvə ndvə	n d v ə _ n d v ə	!			3585	
21590	Daofu	late	skhrə skhrə	s kh r ə _ s kh r ə	!			3417	
21593	Pumi_Lanping	dry	Gu⁵⁵	ɢ u ⁵⁵	changed G to ɢ, voiced uvular stop.			1529	
21611	Daofu	tomorrow	ɬha si	ɬh a _ s i				3376	
21619	Lisu	horizontal	lɛ̱³¹kɑ⁵⁵tɕi⁵⁵	l ɛ̱ ³¹ ◦ k ɑ ⁵⁵ ◦ tɕ i ⁵⁵				3435	
21620	Pumi_Lanping	smooth	dʐuɛ̃¹³iɛ̃⁵⁵iɛ̃⁵⁵	dʐ u ɛ̃ ∼ ¹³ ◦ i ɛ̃ ∼ ⁵⁵ ◦ i ɛ̃ ∼ ⁵⁵	!			2549	
21622	Darang_Taraon	the rope	kɑ³¹ɹui⁵⁵	k ɑ ³¹ ◦ ɹ u i ⁵⁵				2361	
21623	Bai_Jianchuan	the front (front side)	tiə⁴²	t i ə ⁴²				3669	
21625	Darang_Taraon	the sickle	dzɑ³¹wɑ⁵⁵	dz ɑ ³¹ ◦ w ɑ ⁵⁵				3295	
21642	Tibetan_Written	to scratch	ɦphrugs	ɦ ph r u g s	!			2395	
21652	Pumi_Lanping	the name	ma⁵⁵	m a ⁵⁵				2156	
21656	Lisu	the horn (keratinized skin)	tʃhi̱³³bu̱³¹	tʃh i̱ ³³ ◦ b u̱ ³¹				1906	
21660	Darang_Taraon	the name	ɑ³¹mɯŋ⁵⁵	ɑ ³¹ ◦ m ɯ ŋ ⁵⁵				2156	
21667	Darang_Taraon	the road	ɑ³¹lim⁵⁵	ɑ ³¹ ◦ l i m ⁵⁵				2337	
21668	Darang_Taraon	the dream	jɑ⁵⁵mo⁵³	j ɑ ⁵⁵ ◦ m o ⁵³				1516	
21672	Darang_Taraon	middle	thɯ³¹boŋ³⁵	th ɯ ³¹ ◦ b o ŋ ³⁵				3321	
21673	Darang_Taraon	left	tɯ³¹kiɯ⁵⁵	t ɯ ³¹ ◦ k i ɯ ⁵⁵				2026	
21674	Darang_Taraon	right	tɯ³¹tɕɑ⁵⁵	t ɯ ³¹ ◦ tɕ ɑ ⁵⁵				2320	
21676	Darang_Taraon	outside	ɑ³¹bɯŋ⁵⁵	ɑ ³¹ ◦ b ɯ ŋ ⁵⁵				3333	
21677	Darang_Taraon	inside	lɯm⁵⁵koŋ⁵⁵	l ɯ m ⁵⁵ ◦ k o ŋ ⁵⁵				3345	
21685	Tujia	to plant (vegetals, rice)	sɯe⁵⁵	s ɯ e ⁵⁵				2226	
21687	Darang_Taraon	today	ɑ³¹tiɑ⁵⁵n̥n⁵³	ɑ ³¹ ◦ t i ɑ ⁵⁵ ◦ n̥ n ⁵³				3356	
21688	Darang_Taraon	yesterday	bɯ³¹liɯŋ⁵³n̥n⁵³	b ɯ ³¹ ◦ l i ɯ ŋ ⁵³ ◦ n̥ n ⁵³	!			3375	
21692	Tibetan_Written	the sheep	lug	l u g				3615	
21693	Darang_Taraon	the frog	pɑ³¹ɹɑi⁵³	p ɑ ³¹ ◦ ɹ ɑ i ⁵³				3190	
21694	Darang_Taraon	morning	ɑ³¹nɑŋ⁵³	ɑ ³¹ ◦ n ɑ ŋ ⁵³				3605	
21695	Darang_Taraon	noon	n̥n⁵³thɯ³¹boŋ³⁵	n̥ n ⁵³ ◦ th ɯ ³¹ ◦ b o ŋ ³⁵				3395	
21699	Darang_Taraon	the earth (soil)	khɯ³¹lɑi³⁵	kh ɯ ³¹ ◦ l ɑ i ³⁵				1562	
21709	Tibetan_Written	the goat	ra	r a				3621	
21710	Darang_Taraon	the year	kɯ³¹nɯŋ⁵⁵	k ɯ ³¹ ◦ n ɯ ŋ ⁵⁵				2992	
21713	Bokar	there	aː◦lo	aː l o	!			2699	
21724	Darang_Taraon	two	kɑ³¹n̩⁵⁵	k ɑ ³¹ ◦ n̩ ⁵⁵	!			2816	
21725	Darang_Taraon	three	kɑ³¹sɯŋ³⁵|	k ɑ ³¹ ◦ s ɯ ŋ ³⁵	!			2762	
21726	Darang_Taraon	four	kɑ³¹pɹɑi⁵⁵	k ɑ ³¹ ◦ p ɹ ɑ i ⁵⁵				1712	
21728	Darang_Taraon	six	tɑ³¹xɹo⁵³	t ɑ ³¹ ◦ x ɹ o ⁵³				2497	
21729	Darang_Taraon	seven	weŋ⁵³	w e ŋ ⁵³				2429	
21730	Darang_Taraon	eight	liɯm³⁵	l i ɯ m ³⁵				3913	
21731	Darang_Taraon	nine	kɑ³¹ȵɯŋ⁵⁵	k ɑ ³¹ ◦ ȵ ɯ ŋ ⁵⁵				2200	
21740	Darang_Taraon	twenty	kɑ³¹n̩⁵⁵xɑ⁵⁵lɯŋ⁵⁵	k ɑ ³¹ ◦ n̩ ⁵⁵ ◦ x ɑ ⁵⁵ ◦ l ɯ ŋ ⁵⁵	!			2814	
21744	Tibetan_Written	to float	hjaŋ	h j a ŋ				1652	
21747	Darang_Taraon	hundred	mɑ³¹lɯm⁵⁵	m ɑ ³¹ ◦ l ɯ m ⁵⁵				1921	
21750	Lisu	the dog	khɯ³¹gɑ̱³¹	kh ɯ ³¹ ◦ g ɑ̱ ³¹				1511	
21755	Dulong	we [first person plural inclusive]	iŋ⁵⁵	i ŋ ⁵⁵				2860	
21761	Dulong	thou [second person singular]	nɑ⁵³	n ɑ ⁵³				2759	
21765	Pumi_Lanping	salty	qhɑ¹³	qh ɑ ¹³				3464	
21770	Dulong	he or she [third person singular]	ɑŋ⁵³	ɑ ŋ ⁵³				1818	
21773	Bai_Jianchuan	the sky	xẽ⁵⁵	x ẽ ∼ ⁵⁵				2509	
21774	Bai_Jianchuan	the sun	ɲi̱³³phĩ²¹	ɲ i̱ ³³ ◦ ph ĩ ∼ ²¹				2660	
21775	Naxi	full	ʂɚ⁵⁵	ʂ ɚ ⁵⁵				1730	
21776	Bai_Jianchuan	the moon	mi⁵⁵ŋuɑ̱³³	m i ⁵⁵ ◦ ŋ u ɑ̱ ³³				2092	
21777	Bai_Jianchuan	the star	ɕã⁵⁵	ɕ ã ∼ ⁵⁵				2603	
21779	Bai_Jianchuan	the cloud	vã⁴²	v ã ∼ ⁴²		Ch		1247	
21785	Bai_Jianchuan	the snow	sue̱³³	s u e̱ ³³				2563	
21787	Bai_Jianchuan	the frost	sõ⁵⁵	s õ ∼ ⁵⁵		Ch		3037	
21788	Bai_Jianchuan	the dew	kõ̱²¹ɕy³³	k õ̱ ∼ ²¹ ◦ ɕ y ³³	ɕy³³ < 水			3049	
21791	Bai_Jianchuan	the fire	xue³³	x u e ³³		Ch		1638	
21792	Bai_Jianchuan	the smoke	ɲi⁵⁵tsɿ³³	ɲ i ⁵⁵ ◦ ts ɿ ³³				2538	
21796	Bai_Jianchuan	the mountain	su̱²¹	s u̱ ²¹				2120	
21803	Bai_Jianchuan	the river	kõ⁵⁵	k õ ∼ ⁵⁵				2322	
21805	Bai_Jianchuan	the sea	to̱²¹ko⁴²	t o̱ ²¹ ◦ k o ⁴²				3114	
21812	Bai_Jianchuan	the earth (soil)	thu³³sa³³	th u ³³ ◦ s a ³³		Ch		1559	
21813	Darang_Taraon	the flower	tɑ³¹pɯ⁵⁵	t ɑ ³¹ ◦ p ɯ ⁵⁵				1677	
21816	Bai_Jianchuan	the sand	so⁵⁵tsɿ³³	s o ⁵⁵ ◦ ts ɿ ³³				2387	
21819	Bai_Jianchuan	the water	ɕy³³	ɕ y ³³				2843	
21821	Bai_Jianchuan	the forest	tsɿ²¹ŋo̱³³	ts ɿ ²¹ ◦ ŋ o̱ ³³				1709	
21822	Dulong	here	jɑ⁵⁵kɑi⁵³	j ɑ ⁵⁵ ◦ k ɑ i ⁵³				1866	
21825	Darang_Taraon	we [first person plural inclusive]	ŋˌ⁵⁵ tɕu³¹	ŋˌ ⁵⁵ _ tɕ u ³¹				2856	
21826	Darang_Taraon	thou [second person singular]	ȵoŋ³⁵	ȵ o ŋ ³⁵				2759	
21830	Bai_Jianchuan	the salt	pĩ	p ĩ ∼	? missing tone			2379	
21836	Darang_Taraon	this	e⁵⁵	e ⁵⁵				2751	
21838	Dulong	that	ɔ⁵³jɑ⁵³	ɔ ⁵³ ◦ j ɑ ⁵³				2685	
21841	Darang_Taraon	there	we⁵⁵go⁵⁵	w e ⁵⁵ ◦ g o ⁵⁵				2702	
21842	Bai_Jianchuan	the head	tiə⁴²po⁴²	t i ə ⁴² ◦ p o ⁴²	tiə⁴² < ch 头			1824	
21843	Bai_Jianchuan	the hair (of the head)	tiə⁴²mɑ⁵⁵	t i ə ⁴² ◦ m ɑ ⁵⁵				1791	
21844	Darang_Taraon	who	ɕɑ⁵⁵	ɕ ɑ ⁵⁵				2915	
21847	Bai_Jianchuan	the eye	ŋue³³	ŋ u e ³³		Ch < 眼		1590	
21848	Bai_Jianchuan	the nose	vu⁴²tiə⁴²ne⁴²	v u ⁴² ◦ t i ə ⁴² ◦ n e ⁴²				2207	
21851	Bai_Jianchuan	the mouth	tɕo̱³³kua⁵⁵	tɕ o̱ ³³ ◦ k u a ⁵⁵				2132	
21852	Darang_Taraon	big	dɯ³¹ɹɯŋ⁵⁵	d ɯ ³¹ ◦ ɹ ɯ ŋ ⁵⁵				1351	
21853	Bai_Jianchuan	the lip (the lips)	tɕy³³pe⁴²	tɕ y ³³ ◦ p e ⁴²				3270	
21856	Darang_Taraon	high / tall	kɑ³¹lɯŋ⁵⁵	k ɑ ³¹ ◦ l ɯ ŋ ⁵⁵				3412	
21857	Bai_Jianchuan	the neck	ku̱²¹mi̱²¹tsa̱³³	k u̱ ²¹ ◦ m i̱ ²¹ ◦ ts a̱ ³³				2177	
21859	Darang_Taraon	long	kɑ³¹lɯŋ⁵⁵	k ɑ ³¹ ◦ l ɯ ŋ ⁵⁵				2050	
21860	Darang_Taraon	short	kɯ³¹tioŋ⁵³	k ɯ ³¹ ◦ t i o ŋ ⁵³				2462	
21861	Bai_Jianchuan	the breast (female)	pɑ̱²¹tɕi̱³³	p ɑ̱ ²¹ ◦ tɕ i̱ ³³				1238	
21862	Darang_Taraon	near	gɑ⁵⁵ɑ⁵⁵	g ɑ ⁵⁵ ◦ ɑ ⁵⁵	!			2170	
21863	Bai_Jianchuan	the belly	fu̱³³	f u̱ ³³		Ch		1334	
21864	Darang_Taraon	narrow	ɑ⁵⁵ɑ⁵⁵	ɑ ⁵⁵ ◦ ɑ ⁵⁵	!			2160	
21866	Bai_Jianchuan	the thigh	khua²¹pi⁵⁵	kh u a ²¹ ◦ p i ⁵⁵		股髀 (B1 layer, recent)		3083	
21867	Bai_Jianchuan	the knee	kua³³tiə⁴²ka̱³³	k u a ³³ ◦ t i ə ⁴² ◦ k a̱ ³³				1975	
21869	Bai_Jianchuan	the foot	ko̱³³	k o̱ ³³		Ch		1702	
21870	Darang_Taraon	full	blɯŋ⁵⁵	b l ɯ ŋ ⁵⁵				1727	
21872	Bai_Jianchuan	the hand	sɿ³³	s ɿ ³³		ch		1803	
21874	Darang_Taraon	round	geŋ⁵⁵weŋ⁵⁵dɑ⁵⁵	g e ŋ ⁵⁵ ◦ w e ŋ ⁵⁵ ◦ d ɑ ⁵⁵				2368	
21875	Dulong	what	ɑ³¹tɑ⁵⁵	ɑ ³¹ ◦ t ɑ ⁵⁵				2887	
21876	Bai_Jianchuan	the nail (fingernail or claw)	sɿtiə⁴²ka̱³³	s ɿ ◦ t i ə ⁴² ◦ k a̱ ³³	? missing tone			2151	
21877	Darang_Taraon	horizontal	xɑ³¹pieŋ⁵⁵	x ɑ ³¹ ◦ p i e ŋ ⁵⁵				3431	
21878	Darang_Taraon	straight	ɑ³¹lim⁵⁵blioŋ⁵⁵	ɑ ³¹ ◦ l i m ⁵⁵ ◦ b l i o ŋ ⁵⁵				2646	
21879	Dulong	where	ɑ³¹ɹɑ⁵⁵kɑi⁵³	ɑ ³¹ ◦ ɹ ɑ ⁵⁵ ◦ k ɑ i ⁵³				2904	
21880	Darang_Taraon	white	lio⁵³	l i o ⁵³				2913	
21881	Bai_Jianchuan	the skin	pe⁴²	p e ⁴²				2501	
21882	Darang_Taraon	yellow	min⁵⁵	m i n ⁵⁵				2999	
21885	Darang_Taraon	dark	kɑ³¹no⁵⁵	k ɑ ³¹ ◦ n o ⁵⁵				3782	
21886	Darang_Taraon	heavy	wɑɯ⁵⁵ɑ⁵⁵	w ɑ ɯ ⁵⁵ ◦ ɑ ⁵⁵	!			1858	
21887	Darang_Taraon	light (of weight)	ɑŋ⁵⁵ɑŋ⁵⁵	ɑ ŋ ⁵⁵ ◦ ɑ ŋ ⁵⁵	!			3456	
21889	Darang_Taraon	late	ɑ³¹miu³⁵ɕɑ⁵³	ɑ ³¹ ◦ m i u ³⁵ ◦ ɕ ɑ ⁵³				3426	
21890	Darang_Taraon	sharp	ɹɑ⁵⁵	ɹ ɑ ⁵⁵				2435	
21891	Bai_Jianchuan	the bone	kuɑ̱³³tiə⁴²	k u ɑ̱ ³³ ◦ t i ə ⁴²	S1	Ch		1236	
21895	Darang_Taraon	dry	ɕoŋ³⁵	ɕ o ŋ ³⁵				1540	
21896	Bai_Jianchuan	the tongue	tse̱²¹	ts e̱ ²¹				2792	
21898	Darang_Taraon	hard	tɑ³¹lɯi⁵⁵	t ɑ ³¹ ◦ l ɯ i ⁵⁵				3483	
21899	Bai_Jianchuan	the lung	phiɑ̱³³	ph i ɑ̱ ³³		Ch 肺		3094	
21900	Bai_Jianchuan	the heart	ɕĩ⁵⁵	ɕ ĩ ∼ ⁵⁵		Ch		1847	
21904	Darang_Taraon	correct (right)	kɯ³¹bioŋ⁵⁵	k ɯ ³¹ ◦ b i o ŋ ⁵⁵				1469	
21911	Darang_Taraon	good	pɹɑ⁵⁵	p ɹ ɑ ⁵⁵				1753	
21912	Darang_Taraon	bad	pɹɑ⁵⁵jim⁵⁵	p ɹ ɑ ⁵⁵ ◦ j i m ⁵⁵				1327	
21917	Darang_Taraon	old (of person)	tɑ³¹pɑɯ⁵⁵	t ɑ ³¹ ◦ p ɑ ɯ ⁵⁵				2213	
21918	Darang_Taraon	young	tɑ³¹mɯŋ⁵³ɑ³¹	t ɑ ³¹ ◦ m ɯ ŋ ⁵³ ◦ ɑ ³¹	!			3860	
21921	Darang_Taraon	hot	tɑi⁵⁵	t ɑ i ⁵⁵				3492	
21922	Darang_Taraon	cold (of temperature)	dzoŋ⁵³	dz o ŋ ⁵³				1441	
21925	Tujia	the spider	pu⁵⁵tshi⁵⁵	p u ⁵⁵ ◦ tsh i ⁵⁵				2570	
21926	Bai_Jianchuan	the man (male human)	tsɿ³³ɲi²¹	ts ɿ ³³ ◦ ɲ i ²¹				2058	
21927	Bai_Jianchuan	the woman	ɲə³³ɲi²¹	ɲ ə ³³ ◦ ɲ i ²¹				2973	
21930	Tibetan_Written	the year	lo	l o				2994	
21931	Darang_Taraon	salty	kɑ⁵³	k ɑ ⁵³				3464	
21935	Darang_Taraon	dirty	kɑ³¹pɯ⁵³	k ɑ ³¹ ◦ p ɯ ⁵³				1508	
21936	Darang_Taraon	to be alive	ɑ³¹sɯŋ⁵⁵	ɑ ³¹ ◦ s ɯ ŋ ⁵⁵				1332	
21940	Daofu	to buy	rə	r ə				1414	
21942	Bokar	the husband	me |lo	m e _ l o	!			1939	
21944	Tujia	the lung	xui³⁵	x u i ³⁵				3096	
21947	Lisu	correct (right)	dzo³¹	dz o ³¹				1466	
21948	Jingpho	the nail (fingernail or claw)	lă³¹mjin³³	l ă ³¹ ◦ m j i n ³³				2153	
21949	Dulong	long	mɹɑŋ⁵³	m ɹ ɑ ŋ ⁵³				2049	
21950	Bai_Jianchuan	the father	ɑ²¹ti³³	ɑ ²¹ ◦ t i ³³				1609	
21951	Bai_Jianchuan	the mother	ɑ²¹mo³³	ɑ ²¹ ◦ m o ³³				2108	
21952	Bai_Jianchuan	the son	tsɿ³³ɲi²¹	ts ɿ ³³ ◦ ɲ i ²¹		Ch 子人		3127	
21954	Bai_Jianchuan	the daughter	ɲə³³ɲi²¹	ɲ ə ³³ ◦ ɲ i ²¹		Ch 女人		3518	
21963	Darang_Taraon	to sing	tɑ³¹ɕiŋ⁵³	t ɑ ³¹ ◦ ɕ i ŋ ⁵³				2485	
21969	Daofu	middle	bar ma	b a r _ m a		tib[bar.ma]		3320	
21973	Bai_Jianchuan	the husband	po⁵⁵ɲi²¹	p o ⁵⁵ ◦ ɲ i ²¹	ɲi²¹ < 人	Ch		1947	
21974	Bai_Jianchuan	the husband	so̱²¹ɲi²¹	s o̱ ²¹ ◦ ɲ i ²¹	ɲi²¹ < 人			1952	
21977	Darang_Taraon	to hunt	tɑ³¹bɹeŋ⁵⁵mɑ³¹lɯu⁵³	t ɑ ³¹ ◦ b ɹ e ŋ ⁵⁵ ◦ m ɑ ³¹ ◦ l ɯ u ⁵³				1933	
21978	Darang_Taraon	to fight	xuɑɯ⁵³gɑ³⁵	x u ɑ ɯ ⁵³ ◦ g ɑ ³⁵				1632	
21980	Tibetan_Written	to kill	bkroŋ	b k r o ŋ	!			1968	
21983	Bai_Jianchuan	the hoof	pɑ̃⁴²	p ɑ̃ ∼ ⁴²				3137	
21984	Lisu	early	nɛ̱³¹	n ɛ̱ ³¹				3307	
21986	Naxi	the wood (material)	nɑ²¹	n ɑ ²¹				2976	
21987	Bai_Jianchuan	the tail	tsã⁵⁵fə̃⁵⁵tsɿ³³	ts ã ∼ ⁵⁵ ◦ f ə̃ ∼ ⁵⁵ ◦ ts ɿ ³³				2671	
21988	Bai_Jianchuan	the horse	ma³³	m a ³³		Ch 馬		3149	
21989	Bai_Jianchuan	bad	kua̱²¹	k u a̱ ²¹				1225	
21993	Bai_Jianchuan	the sheep	tsa⁵⁵ɲo⁴²	ts a ⁵⁵ ◦ ɲ o ⁴²		Ch 羊		3614	
21994	Bai_Jianchuan	the goat	kõ̱²¹ɲo⁴²	k õ̱ ∼ ²¹ ◦ ɲ o ⁴²		Ch 羊		3629	
21998	Bai_Jianchuan	the pig	te̱²¹	t e̱ ²¹				3158	
22003	Bai_Jianchuan	the dog	khuɑ̃³³	kh u ɑ̃ ∼ ³³		Ch		1511	
22006	Darang_Taraon	to give	ŋ̊ŋ³⁵	ŋ̊ ŋ ³⁵				1747	
22007	Bai_Jianchuan	the wing	ji²¹ku⁵⁵	j i ²¹ ◦ k u ⁵⁵				2955	
22008	Bai_Jianchuan	the feather	tɕi⁵⁵kə⁵⁵u⁵⁵tso̱³³mɑ⁴²	tɕ i ⁵⁵ ◦ k ə ⁵⁵ u ⁵⁵ ◦ ts o̱ ³³ ◦ m ɑ ⁴²				1615	
22009	Daofu	to vomit	phɛ	ph ɛ				2820	
22011	Bai_Jianchuan	the tiger	lo⁴²	l o ⁴²				3576	
22013	Darang_Taraon	to drink	tim³⁵	t i m ³⁵				1525	
22017	Tibetan_Written	to shoot (an arrow)	(mdaɦ) ɦphen	m d a ɦ _ ɦ ph e n	!			2442	
22020	Bai_Jianchuan	the otter	ɕy³³tɕhɑ̱³³tiə⁴²	ɕ y ³³ ◦ tɕh ɑ̱ ³³ ◦ t i ə ⁴²		Chinese		3633	
22022	Bai_Jianchuan	the mouse or rat	su³³	s u ³³				2277	
22023	Lisu	the fish	e⁵⁵ko⁵⁵tɕɯ³⁵	e ⁵⁵ ◦ k o ⁵⁵ ◦ tɕ ɯ ³⁵				1645	
22024	Bai_Jianchuan	the wolf	nɑ̱²¹	n ɑ̱ ²¹				3163	
22025	Bai_Jianchuan	the fox	ɣo⁴²	ɣ o ⁴²		wanderwort.tib; tone matches Chinese		3170	
22026	Bai_Jianchuan	the bird	tɕi⁵⁵kə⁵⁵u⁵⁵tso̱³³	tɕ i ⁵⁵ ◦ k ə ⁵⁵ u ⁵⁵ ◦ ts o̱ ³³				1230	
22028	Bokar	the body hair (hair or fur)	a mɯ	a _ m ɯ				3557	
22030	Bai_Jianchuan	the sparrow	tso̱³³tsɿ³³	ts o̱ ³³ ◦ ts ɿ ³³		Ch 雀子		3588	
22031	Darang_Taraon	to reside (live)	i⁵⁵ɑ³¹	i ⁵⁵ ◦ ɑ ³¹	!			2301	
22033	Darang_Taraon	to see	kɑ³¹tiɯŋ⁵³	k ɑ ³¹ ◦ t i ɯ ŋ ⁵³				2417	
22034	Lisu	the flea	xɯ̱³³	x ɯ̱ ³³				3193	
22036	Bai_Jianchuan	the snake	khua³³	kh u a ³³				2554	
22038	Bai_Jianchuan	the frog	õ⁴²ma⁵⁵	õ ∼ ⁴² ◦ m a ⁵⁵				3183	
22039	Darang_Taraon	to cry (weep)	khɹo⁵³	kh ɹ o ⁵³	not 1480 ?			1255	
22042	Darang_Taraon	to come	xɑ³¹nɑŋ⁵⁵ (nɑ⁵⁵)	x ɑ ³¹ ◦ n ɑ ŋ ⁵⁵				1456	
22043	Bai_Jianchuan	the flea	khuɑ̃³³ɕi̱³³	kh u ɑ̃ ∼ ³³ ◦ ɕ i̱ ³³	= 'dog louse'	Chinese 犬蝨		3195	
22044	Bai_Jianchuan	the louse	ɕi̱³³	ɕ i̱ ³³				2053	
22045	Bai_Jianchuan	the nit	pa̱²¹ɕi̱³³	p a̱ ²¹ ◦ ɕ i̱ ³³	ɕi̱³³=蝨			3636	
22049	Bai_Jianchuan	the earthworm	ko⁵⁵lo⁵⁵tsu⁴²	k o ⁵⁵ ◦ l o ⁵⁵ ◦ ts u ⁴²				3211	
22051	Bai_Jianchuan	the ant	pi⁴²po⁴²tsɿ³³	p i ⁴² ◦ p o ⁴² ◦ ts ɿ ³³				3218	
22052	Darang_Taraon	to buy	bɹɑi³⁵	b ɹ ɑ i ³⁵				1415	
22054	Bai_Jianchuan	the tree	tsɿ²¹	ts ɿ ²¹				2811	
22055	Bai_Jianchuan	the branch	tsɿ²¹ku⁵⁵	ts ɿ ²¹ ◦ k u ⁵⁵				1200	
22057	Bai_Jianchuan	the leaf	se̱³³	s e̱ ³³				2012	
22058	Bai_Jianchuan	the leaf	tsɿ²¹se̱³³	ts ɿ ²¹ ◦ s e̱ ³³				2012	
22059	Bai_Jianchuan	the flower	xo⁵⁵	x o ⁵⁵		Ch		1673	
22060	Darang_Taraon	to vomit	me⁵³	m e ⁵³				2825	
22063	Darang_Taraon	to run	tsɑu⁵⁵	ts ɑ u ⁵⁵				3788	
22066	Bai_Jianchuan	the bamboo	tso̱	ts o̱	? missing tone	Ch		3223	
22067	Darang_Taraon	to pull	kɑ³¹ tiɑu⁵⁵	k ɑ ³¹ _ t i ɑ u ⁵⁵				2251	
22070	Darang_Taraon	to marry (a man marries a woman)	me³⁵jɑŋ³¹ kɑ³¹ tiɑɯ⁵⁵	m e ³⁵ ◦ j ɑ ŋ ³¹ _ k ɑ ³¹ _ t i ɑ ɯ ⁵⁵				3531	
22072	Darang_Taraon	to knead	ɑ³¹kɑ³⁵	ɑ ³¹ ◦ k ɑ ³⁵				3538	
22073	Bai_Jianchuan	the seed	tsõ³³tsɿ³³	ts õ ∼ ³³ ◦ ts ɿ ³³				2420	
22078	Dulong	yellow	guɑɹ⁵³	g u ɑ ɹ ⁵³				3000	
22079	Bai_Jianchuan	the barley (tibetan or highland)	me⁵⁵zo⁴²	m e ⁵⁵ ◦ z o ⁴²				3253	
22082	Daofu	to float	ɣrə tɕha bjo	ɣ r ə _ tɕh a _ b j o				1651	
22089	Darang_Taraon	to count	tɑ³¹tsɑi⁵⁵	t ɑ ³¹ ◦ ts ɑ i ⁵⁵				1478	
22090	Darang_Taraon	to sleep	n̩⁵³	n̩ ⁵³				2520	
22092	Bai_Jianchuan	the grass	tshu³³	tsh u ³³		Ch		1765	
22093	Darang_Taraon	to die	ɕi⁵⁵	ɕ i ⁵⁵				1486	
22094	Tujia	to flow	to²¹	t o ²¹				1668	
22095	Bai_Jianchuan	the rice plant	ko²¹	k o ²¹				3264	
22097	Bai_Jianchuan	the meat	ka⁴²	k a ⁴²				2090	
22099	Darang_Taraon	to lick	lio⁵³	l i o ⁵³				2654	
22100	Dulong	the mosquito	pɑ³¹si⁵⁵	p ɑ ³¹ ◦ s i ⁵⁵				2102	
22104	Bai_Jianchuan	the egg	(ke⁵⁵) sẽ̱²¹	k e ⁵⁵ _ s ẽ̱ ∼ ²¹	!			1585	
22105	Darang_Taraon	to steal	ɑ³¹kɑn⁵³	ɑ ³¹ ◦ k ɑ n ⁵³				2612	
22106	Naxi	the skin	ɣɯ³³	ɣ ɯ ³³				2498	
22107	Darang_Taraon	to spit	me⁵³	m e ⁵³				2588	
22108	Darang_Taraon	to push	ȵɯŋ⁵⁵	ȵ ɯ ŋ ⁵⁵				2257	
22110	Darang_Taraon	the egg	mɑ³¹nɑ⁵³	m ɑ ³¹ ◦ n ɑ ⁵³				1586	
22111	Darang_Taraon	to burn [intransitive]	xɹɑɯ⁵³	x ɹ ɑ ɯ ⁵³				3678	
22112	Lisu	the root	e⁵⁵phiɛ³¹	e ⁵⁵ ◦ ph i ɛ ³¹				2354	
22113	Darang_Taraon	to dig	uɑ⁵⁵	u ɑ ⁵⁵				1496	
22114	Darang_Taraon	to play	ɹoŋ⁵⁵ gɑ³¹jɑ³¹	ɹ o ŋ ⁵⁵ _ g ɑ ³¹ ◦ j ɑ ³¹				2242	
22115	Darang_Taraon	to forget	we⁵⁵mɑ³¹sɑ⁵³	w e ⁵⁵ ◦ m ɑ ³¹ ◦ s ɑ ⁵³				3552	
22116	Tujia	the sparrow	tɕhia⁵⁵phɯe⁵⁵	tɕh i a ⁵⁵ ◦ ph ɯ e ⁵⁵				3590	
22118	Darang_Taraon	to hold	ɑ³¹tio⁵⁵ɹo⁵³	ɑ ³¹ ◦ t i o ⁵⁵ ◦ ɹ o ⁵³				1903	
22123	Lisu	the fruit	e⁵⁵ni³⁵mɑ³³	e ⁵⁵ ◦ n i ³⁵ ◦ m ɑ ³³				1722	
